Time: 19/19:7:35 Arduino 0: 4
Time: 19/19:7:35 Arduino 0: 0: 263.32,1: 246.80,2: 236.95,3: 228.16,4: 220.43,5: 213.75,6: 210.23
Time: 19/19:7:49 Arduino 0: 0: 263.32,1: 258.05,2: 253.13,3: 248.91,4: 242.93,5: 238.71,6: 233.79
Time: 19/19:7:49 Arduino 0: 0: 262.62,1: 258.75,2: 253.13,3: 248.20,4: 244.34,5: 238.01,6: 233.79
Time: 19/19:7:49 Arduino 0: 0: 263.32,1: 258.05,2: 253.48,3: 248.91,4: 243.28,5: 239.06,6: 233.09
Time: 19/19:7:49 Arduino 0: 0: 263.32,1: 258.75,2: 252.77,3: 248.91,4: 243.98,5: 238.01,6: 234.49
Time: 19/19:7:49 Arduino 0: 0: 263.32,1: 258.05,2: 254.18,3: 248.55,4: 243.63,5: 239.06,6: 233.09
Time: 19/19:7:49 Arduino 0: 0: 263.32,1: 258.75,2: 253.13,3: 249.61,4: 243.98,5: 238.36,6: 234.84
Time: 19/19:7:49 Arduino 0: 0: 263.32,1: 258.40,2: 253.83,3: 248.20,4: 244.34,5: 239.06,6: 233.44
Time: 19/19:7:49 Arduino 0: 0: 263.32,1: 258.05,2: 253.13,3: 249.26,4: 242.93,5: 238.71,6: 234.14
Time: 19/19:7:49 Arduino 0: 0: 263.32,1: 258.40,2: 253.48,3: 247.85,4: 244.34,5: 238.01,6: 233.44
Time: 19/19:7:49 Arduino 0: 0: 262.97,1: 258.05,2: 253.48,3: 248.91,4: 243.28,5: 239.06,6: 233.44
Time: 19/19:7:50 Arduino 0: 0: 262.97,1: 258.75,2: 253.13,3: 248.55,4: 243.98,5: 238.01,6: 234.49
Time: 19/19:7:50 Arduino 0: 0: 263.32,1: 258.05,2: 254.18,3: 248.55,4: 243.28,5: 239.41,6: 233.09
Time: 19/19:7:50 Arduino 0: 0: 262.62,1: 258.75,2: 253.13,3: 249.26,4: 243.98,5: 238.36,6: 234.49
Time: 19/19:7:50 Arduino 0: 0: 263.32,1: 258.40,2: 253.83,3: 248.20,4: 243.98,5: 238.71,6: 233.09
Time: 19/19:7:50 Arduino 0: 0: 263.32,1: 258.75,2: 253.13,3: 249.61,4: 243.28,5: 238.71,6: 234.49
Time: 19/19:7:50 Arduino 0: 0: 262.97,1: 258.40,2: 253.83,3: 248.20,4: 244.34,5: 238.71,6: 233.44
Time: 19/19:7:50 Arduino 0: 0: 262.97,1: 258.05,2: 253.48,3: 249.26,4: 243.28,5: 239.41,6: 233.79
